number,year,kode,region,municipalities,total,urban,rural,,,
3106,2014,8862816000,Республика Марий Эл,Городское поселение Краснооктябрьский,4666,4666,0,,,
3107,2014,886281600511000,Республика Марий Эл,пгт. Краснооктябрьский,4666,4666,0,,,
3108,2014,8862840500,Республика Марий Эл,Азановское сельское поселение,1980,0,1980,,,
3109,2014,8862840700,Республика Марий Эл,Азяковское сельское поселение,1853,0,1853,,,
3110,2014,8862841000,Республика Марий Эл,Ежовское сельское поселение,2081,0,2081,,,
3111,2014,8862841200,Республика Марий Эл,Знаменское сельское поселение,3052,0,3052,,,
3112,2014,8862841700,Республика Марий Эл,Куярское сельское поселение,4316,0,4316,,,
3113,2014,8862841800,Республика Марий Эл,Кузнецовское сельское поселение,3118,0,3118,,,
3114,2014,8862841900,Республика Марий Эл,Кундышское сельское поселение,4900,0,4900,,,
3115,2014,8862842000,Республика Марий Эл,Люльпанское сельское поселение,1218,0,1218,,,
3116,2014,8862842500,Республика Марий Эл,Пекшиксолинское сельское поселение,3793,0,3793,,,
3117,2014,8862842800,Республика Марий Эл,Нужъяльское сельское поселение,967,0,967,,,
3118,2014,8862843000,Республика Марий Эл,Нурминское сельское поселение,1734,0,1734,,,
3119,2014,8862843500,Республика Марий Эл,Пижменское сельское поселение,912,0,912,,,
3120,2014,8862844000,Республика Марий Эл,Русско-Кукморское сельское поселение,1774,0,1774,,,
3121,2014,8862844200,Республика Марий Эл,Руэмское сельское поселение,4149,0,4149,,,
3122,2014,8862844800,Республика Марий Эл,Сенькинское сельское поселение,1730,0,1730,,,
3123,2014,8862845000,Республика Марий Эл,Сидоровское сельское поселение,2348,0,2348,,,
3124,2014,8862845500,Республика Марий Эл,Туршинское сельское поселение,775,0,775,,,
3125,2014,8862847000,Республика Марий Эл,Шойбулакское сельское поселение,3689,0,3689,,,
3126,2014,8862848000,Республика Марий Эл,Юбилейное сельское поселение,1594,0,1594,,,
3127,2014,8863200000,Республика Марий Эл,Моркинский муниципальный район,29651,9269,20382,,,
3128,2014,8863215100,Республика Марий Эл,Городское поселение Морки,11756,9269,2487,,,
3129,2014,886321510511000,Республика Марий Эл,пгт. Морки,9269,9269,0,,,
3130,2014,8863241500,Республика Марий Эл,Зеленогорское сельское поселение,994,0,994,,,
3131,2014,8863242500,Республика Марий Эл,Коркатовское сельское поселение,2971,0,2971,,,
3132,2014,8863242600,Республика Марий Эл,Красностекловарское сельское поселение,1023,0,1023,,,
3133,2014,8863244500,Республика Марий Эл,Октябрьское сельское поселение,2108,0,2108,,,
3134,2014,8863245500,Республика Марий Эл,Себеусадское сельское поселение,2147,0,2147,,,
3135,2014,8863246000,Республика Марий Эл,Семисолинское сельское поселение,2007,0,2007,,,
3136,2014,8863247000,Республика Марий Эл,Шалинское сельское поселение,2258,0,2258,,,
3137,2014,8863247500,Республика Марий Эл,Шиньшинское сельское поселение,2663,0,2663,,,
3138,2014,8863248000,Республика Марий Эл,Шоруньжинское сельское поселение,1724,0,1724,,,
3139,2014,8863600000,Республика Марий Эл,Новоторъяльский муниципальный район,15601,6202,9399,,,
3140,2014,8863615100,Республика Марий Эл,Городское поселение Новый Торъял,6230,6202,28,,,
3141,2014,886361510511000,Республика Марий Эл,пгт. Новый Торъял,6202,6202,0,,,
3142,2014,8863642000,Республика Марий Эл,Масканурское сельское поселение,1390,0,1390,,,
3143,2014,8863643500,Республика Марий Эл,Пектубаевское сельское поселение,3029,0,3029,,,
3144,2014,8863644000,Республика Марий Эл,Староторъяльское сельское поселение,1969,0,1969,,,
3145,2014,8863645000,Республика Марий Эл,Чуксолинское сельское поселение,2983,0,2983,,,
3146,2014,8864000000,Республика Марий Эл,Оршанский муниципальный район,14402,6218,8184,,,
3147,2014,8864015100,Республика Марий Эл,Городское поселение Оршанка,6218,6218,0,,,
3148,2014,886401510511000,Республика Марий Эл,пгт. Оршанка,6218,6218,0,,,
3149,2014,8864040200,Республика Марий Эл,Большеоршинское сельское поселение,638,0,638,,,
3150,2014,8864040500,Республика Марий Эл,Великопольское сельское поселение,1196,0,1196,,,
3151,2014,8864041000,Республика Марий Эл,Каракшинское сельское поселение,643,0,643,,,
3152,2014,8864041900,Республика Марий Эл,Лужбелякское сельское поселение,883,0,883,,,
3153,2014,8864042000,Республика Марий Эл,Марковское сельское поселение,1199,0,1199,,,
3154,2014,8864043500,Республика Марий Эл,Старокрещенское сельское поселение,871,0,871,,,
3155,2014,8864044000,Республика Марий Эл,Табашинское сельское поселение,552,0,552,,,
3156,2014,8864044500,Республика Марий Эл,Упшинское сельское поселение,520,0,520,,,
3157,2014,8864044800,Республика Марий Эл,Чирковское сельское поселение,605,0,605,,,
3158,2014,8864045000,Республика Марий Эл,Шулкинское сельское поселение,1077,0,1077,,,
3159,2014,8864400000,Республика Марий Эл,Параньгинский муниципальный район,15069,5599,9470,,,
3160,2014,8864415100,Республика Марий Эл,Городское поселение Параньга,5833,5599,234,,,
3161,2014,886441510511000,Республика Марий Эл,пгт. Параньга,5599,5599,0,,,
3162,2014,8864441100,Республика Марий Эл,Алашайское сельское поселение,1330,0,1330,,,
3163,2014,8864442200,Республика Марий Эл,Елеевское сельское поселение,1561,0,1561,,,
3164,2014,8864443300,Республика Марий Эл,Илетское сельское поселение,541,0,541,,,
3165,2014,8864444400,Республика Марий Эл,Ильпанурское сельское поселение,753,0,753,,,
3166,2014,8864445500,Республика Марий Эл,Куракинское сельское поселение,1561,0,1561,,,
3167,2014,8864447700,Республика Марий Эл,Портянурское сельское поселение,1199,0,1199,,,
3168,2014,8864448000,Республика Марий Эл,Русско-Ляжмаринское сельское поселение,819,0,819,,,
3169,2014,8864448800,Республика Марий Эл,Усолинское сельское поселение,1472,0,1472,,,
3170,2014,8864800000,Республика Марий Эл,Сернурский муниципальный район,24243,8313,15930,,,
3171,2014,8864815100,Республика Марий Эл,Городское поселение Сернур,8563,8313,250,,,
3172,2014,886481510511000,Республика Марий Эл,пгт. Сернур,8313,8313,0,,,
3173,2014,8864841500,Республика Марий Эл,Дубниковское сельское поселение,1113,0,1113,,,
3174,2014,8864842000,Республика Марий Эл,Зашижемское сельское поселение,1366,0,1366,,,
3175,2014,8864842500,Республика Марий Эл,Казанское сельское поселение,1376,0,1376,,,
3176,2014,8864843500,Республика Марий Эл,Кукнурское сельское поселение,2671,0,2671,,,
3177,2014,8864844500,Республика Марий Эл,Марисолинское сельское поселение,2249,0,2249,,,
3178,2014,8864845500,Республика Марий Эл,Верхнекугенерское сельское поселение,2407,0,2407,,,
3179,2014,8864846800,Республика Марий Эл,Сердежское сельское поселение,1880,0,1880,,,
3180,2014,8864847500,Республика Марий Эл,Чендемеровское сельское поселение,2618,0,2618,,,
3181,2014,8865200000,Республика Марий Эл,Советский муниципальный район,30148,10418,19730,,,
3182,2014,8865215100,Республика Марий Эл,Городское поселение Советский,11805,10418,1387,,,
3183,2014,886521510511000,Республика Марий Эл,пгт. Советский,10418,10418,0,,,
3184,2014,8865241000,Республика Марий Эл,Алексеевское сельское поселение,1873,0,1873,,,
3185,2014,8865242000,Республика Марий Эл,Верх-Ушнурское сельское поселение,1917,0,1917,,,
3186,2014,8865243000,Республика Марий Эл,Вятское сельское поселение,3434,0,3434,,,
3187,2014,8865244700,Республика Марий Эл,Кужмаринское сельское поселение,3574,0,3574,,,
3188,2014,8865247000,Республика Марий Эл,Михайловское сельское поселение,1201,0,1201,,,
3189,2014,8865249000,Республика Марий Эл,Ронгинское сельское поселение,3504,0,3504,,,
3190,2014,8865249200,Республика Марий Эл,Солнечное сельское поселение,2840,0,2840,,,
3191,2014,8865600000,Республика Марий Эл,Юринский муниципальный район,8097,3182,4915,,,
3192,2014,8865615100,Республика Марий Эл,Городское поселение Юрино,3182,3182,0,,,
3193,2014,886561510511000,Республика Марий Эл,пгт. Юрино,3182,3182,0,,,
3194,2014,8865641100,Республика Марий Эл,Васильевское сельское поселение,426,0,426,,,
3195,2014,8865642200,Республика Марий Эл,Козиковское сельское поселение,433,0,433,,,
3196,2014,8865645500,Республика Марий Эл,Горношумецкое сельское поселение,757,0,757,,,
3197,2014,8865646600,Республика Марий Эл,Марьинское сельское поселение,1164,0,1164,,,
3198,2014,8865647400,Республика Марий Эл,Быковское сельское поселение,1113,0,1113,,,
3199,2014,8865647700,Республика Марий Эл,Юркинское сельское поселение,1022,0,1022,,,
3200,2014,8900000000,Республика Мордовия,Муниципальные образования Республики Мордовии,812156,492739,319417,,,
3201,2014,8970100000,Республика Мордовия,Городской округ Саранск,328140,319677,8463,,,
3202,2014,897010000011000,Республика Мордовия,г. Саранск,299195,299195,0,,,
3203,2014,,Республика Мордовия,в том числе внутригородские районы:,,,,,,
3204,2014,897013640011000,Республика Мордовия,Ленинский район,104676,104676,0,,,
3205,2014,897013660011000,Республика Мордовия,Октябрьский район,99552,99552,0,,,
3206,2014,897013680011000,Республика Мордовия,Пролетарский район,94967,94967,0,,,
3207,2014,897010000611000,Республика Мордовия,пгт. Николаевка,4996,4996,0,,,
3208,2014,897010000561000,Республика Мордовия,пгт. Луховка,8321,8321,0,,,
3209,2014,897010000661000,Республика Мордовия,пгт. Ялга,7165,7165,0,,,
3210,2014,8960300000,Республика Мордовия,Ардатовский муниципальный район,27214,13961,13253,,,
3211,2014,8960310100,Республика Мордовия,Городское поселение Ардатов,8976,8976,0,,,
3212,2014,896031010011000,Республика Мордовия,г. Ардатов,8976,8976,0,,,
3213,2014,8960315500,Республика Мордовия,Тургеневское городское поселение,4985,4985,0,,,
3214,2014,896031550511000,Республика Мордовия,пгт. Тургенево,4985,4985,0,,,
3215,2014,8960340200,Республика Мордовия,Ардатовское сельское поселение,608,0,608,,,
3216,2014,8960340400,Республика Мордовия,Баевское сельское поселение,1702,0,1702,,,
3217,2014,8960341000,Республика Мордовия,Жабинское сельское поселение,325,0,325,,,
3218,2014,8960341100,Республика Мордовия,Жаренское сельское поселение,300,0,300,,,
3219,2014,8960341200,Республика Мордовия,Каласевское сельское поселение,462,0,462,,,
3220,2014,8960341600,Республика Мордовия,Кельвядинское сельское поселение,429,0,429,,,
3221,2014,8960342000,Республика Мордовия,Кечушевское сельское поселение,778,0,778,,,
3222,2014,8960342800,Республика Мордовия,Куракинское сельское поселение,517,0,517,,,
3223,2014,8960343200,Республика Мордовия,Кученяевское сельское поселение,680,0,680,,,
3224,2014,8960344800,Республика Мордовия,Лесозаводское сельское поселение,308,0,308,,,
3225,2014,8960343600,Республика Мордовия,Луньгинско-Майданское сельское поселение,376,0,376,,,
3226,2014,8960344400,Республика Мордовия,Манадышское-2 сельское поселение,601,0,601,,,
3227,2014,8960345200,Республика Мордовия,Низовское сельское поселение,673,0,673,,,
3228,2014,8960346000,Республика Мордовия,Октябрьское сельское поселение,1174,0,1174,,,
3229,2014,8960346200,Республика Мордовия,Пиксясинское сельское поселение,341,0,341,,,
3230,2014,8960346800,Республика Мордовия,Редкодубское сельское поселение,1462,0,1462,,,
3231,2014,8960347200,Республика Мордовия,Силинское сельское поселение,410,0,410,,,
3232,2014,8960347600,Республика Мордовия,Солдатское сельское поселение,233,0,233,,,
3233,2014,8960348400,Республика Мордовия,Турдаковское сельское поселение,423,0,423,,,
3234,2014,8960348800,Республика Мордовия,Урусовское сельское поселение,693,0,693,,,
3235,2014,8960349200,Республика Мордовия,Чукальское сельское поселение,758,0,758,,,
3236,2014,8960500000,Республика Мордовия,Атюрьевский муниципальный район,9471,0,9471,,,
3237,2014,8960540500,Республика Мордовия,Аргинское сельское поселение,232,0,232,,,
3238,2014,8960541000,Республика Мордовия,Атюрьевское сельское поселение,4509,0,4509,,,
3239,2014,8960542000,Республика Мордовия,Большешуструйское сельское поселение,454,0,454,,,
3240,2014,8960542200,Республика Мордовия,Вольно-Никольское сельское поселение,163,0,163,,,
3241,2014,8960542500,Республика Мордовия,Дмитриево-Усадское сельское поселение,349,0,349,,,
3242,2014,8960541500,Республика Мордовия,Каменское сельское поселение,284,0,284,,,
3243,2014,8960543000,Республика Мордовия,Кишалинское сельское поселение,461,0,461,,,
3244,2014,8960543500,Республика Мордовия,Курташкинское сельское поселение,836,0,836,,,
3245,2014,8960544000,Республика Мордовия,Мордовско-Козловское сельское поселение,506,0,506,,,
3246,2014,8960545000,Республика Мордовия,Новочадовское сельское поселение,530,0,530,,,
3247,2014,8960545500,Республика Мордовия,Перевесьевское сельское поселение,443,0,443,,,
3248,2014,8960546000,Республика Мордовия,Стрельниковское сельское поселение,704,0,704,,,
3249,2014,8960700000,Республика Мордовия,Атяшевский муниципальный район,18667,6119,12548,,,
3250,2014,8960715100,Республика Мордовия,Атяшевское городское поселение,6119,6119,0,,,
3251,2014,896071510511000,Республика Мордовия,пгт. Атяшево,6119,6119,0,,,
3252,2014,8960740400,Республика Мордовия,Аловское сельское поселение,1142,0,1142,,,
3253,2014,8960740800,Республика Мордовия,Андреевское сельское поселение,293,0,293,,,
3254,2014,8960741200,Республика Мордовия,Атяшевское сельское поселение,2189,0,2189,,,
3255,2014,8960741600,Республика Мордовия,Большеманадышское сельское поселение,893,0,893,,,
3256,2014,8960742000,Республика Мордовия,Вежне-Чукальское сельское поселение,365,0,365,,,
3257,2014,8960742400,Республика Мордовия,Вечерлейское сельское поселение,565,0,565,,,
3258,2014,8960742800,Республика Мордовия,Дюркинское сельское поселение,635,0,635,,,
3259,2014,8960743200,Республика Мордовия,Каменское сельское поселение,307,0,307,,,
3260,2014,8960743600,Республика Мордовия,Капасовское сельское поселение,331,0,331,,,
3261,2014,8960744000,Республика Мордовия,Киржеманское сельское поселение,936,0,936,,,
3262,2014,8960744400,Республика Мордовия,Козловское сельское поселение,609,0,609,,,
3263,2014,8960744800,Республика Мордовия,Лобаскинское сельское поселение,591,0,591,,,
3264,2014,8960745600,Республика Мордовия,Наборно-Сыресевское сельское поселение,220,0,220,,,
3265,2014,8960746000,Республика Мордовия,Покровское сельское поселение,241,0,241,,,
3266,2014,8960746400,Республика Мордовия,Русско-Дубровское сельское поселение,234,0,234,,,
3267,2014,8960746800,Республика Мордовия,Сабанчеевское сельское поселение,763,0,763,,,
3268,2014,8960747200,Республика Мордовия,Селищинское сельское поселение,497,0,497,,,
3269,2014,8960747600,Республика Мордовия,Тарасовское сельское поселение,484,0,484,,,
3270,2014,8960748000,Республика Мордовия,Ушаковское сельское поселение,390,0,390,,,
3271,2014,8960748400,Республика Мордовия,Шейн-Майданское сельское поселение,863,0,863,,,
3272,2014,8961000000,Республика Мордовия,Большеберезниковский муниципальный район,13305,0,13305,,,
3273,2014,8961040500,Республика Мордовия,Большеберезниковское сельское поселение,6762,0,6762,,,
3274,2014,8961041500,Республика Мордовия,Гузынское сельское поселение,476,0,476,,,
3275,2014,8961042000,Республика Мордовия,Елизаветинское сельское поселение,284,0,284,,,
3276,2014,8961042500,Республика Мордовия,Косогорское сельское поселение,389,0,389,,,
3277,2014,8961043000,Республика Мордовия,Марьяновское сельское поселение,714,0,714,,,
3278,2014,8961044000,Республика Мордовия,Паракинское сельское поселение,640,0,640,,,
3279,2014,8961044500,Республика Мордовия,Пермисское сельское поселение,379,0,379,,,
3280,2014,8961045000,Республика Мордовия,Починковское сельское поселение,319,0,319,,,
3281,2014,8961045500,Республика Мордовия,Русско-Найманское сельское поселение,660,0,660,,,
3282,2014,8961046000,Республика Мордовия,Симкинское сельское поселение,405,0,405,,,
3283,2014,8961046500,Республика Мордовия,Старонайманское сельское поселение,483,0,483,,,
3284,2014,8961047000,Республика Мордовия,Судосевское сельское поселение,557,0,557,,,
3285,2014,8961047500,Республика Мордовия,Тазинское сельское поселение,299,0,299,,,
3286,2014,8961048000,Республика Мордовия,Чернопромзинское сельское поселение,166,0,166,,,
3287,2014,8961048500,Республика Мордовия,Шугуровское сельское поселение,772,0,772,,,
3288,2014,8961300000,Республика Мордовия,Большеигнатовский муниципальный район,7615,0,7615,,,
3289,2014,8961340500,Республика Мордовия,Андреевское сельское поселение,628,0,628,,,
3290,2014,8961340700,Республика Мордовия,Атяшевское сельское поселение,248,0,248,,,
3291,2014,8961341000,Республика Мордовия,Большеигнатовское сельское поселение,2941,0,2941,,,
3292,2014,8961341500,Республика Мордовия,Вармазейское сельское поселение,277,0,277,,,
3293,2014,8961342000,Республика Мордовия,Горское сельское поселение,448,0,448,,,
3294,2014,8961342500,Республика Мордовия,Киржеманское сельское поселение,550,0,550,,,
3295,2014,8961343000,Республика Мордовия,Кучкаевское сельское поселение,267,0,267,,,
3296,2014,8961343500,Республика Мордовия,Новобаевское сельское поселение,295,0,295,,,
3297,2014,8961344000,Республика Мордовия,Новокачаевское сельское поселение,241,0,241,,,
3298,2014,8961344500,Республика Мордовия,Протасовское сельское поселение,348,0,348,,,
3299,2014,8961345000,Республика Мордовия,Спасское сельское поселение,479,0,479,,,
3300,2014,8961345200,Республика Мордовия,Старочамзинское сельское поселение,455,0,455,,,
3301,2014,8961345500,Республика Мордовия,Чукальское сельское поселение,438,0,438,,,
3302,2014,8961600000,Республика Мордовия,Дубенский муниципальный район,12803,0,12803,,,
3303,2014,8961640500,Республика Мордовия,Ардатовское сельское поселение,1038,0,1038,,,
3304,2014,8961640700,Республика Мордовия,Березовское сельское поселение,474,0,474,,,
3305,2014,8961641000,Республика Мордовия,Дубенское сельское поселение,3324,0,3324,,,
3306,2014,8961641500,Республика Мордовия,Енгалычевское сельское поселение,445,0,445,,,
3307,2014,8961642000,Республика Мордовия,Кабаевское сельское поселение,876,0,876,,,
3308,2014,8961642500,Республика Мордовия,Кайбичевское сельское поселение,193,0,193,,,
3309,2014,8961643000,Республика Мордовия,Кочкуровское сельское поселение,541,0,541,,,
3310,2014,8961643200,Республика Мордовия,Красинское сельское поселение,497,0,497,,,
3311,2014,8961643500,Республика Мордовия,Ломатское сельское поселение,354,0,354,,,
3312,2014,8961644000,Республика Мордовия,Моргинское сельское поселение,444,0,444,,,
3313,2014,8961644500,Республика Мордовия,Николаевское сельское поселение,391,0,391,,,
3314,2014,8961644700,Республика Мордовия,Петровское сельское поселение,398,0,398,,,
3315,2014,8961645000,Республика Мордовия,Поводимовское сельское поселение,2302,0,2302,,,
3316,2014,8961645500,Республика Мордовия,Пуркаевское сельское поселение,685,0,685,,,
3317,2014,8961646000,Республика Мордовия,Чеберчинское сельское поселение,371,0,371,,,
3318,2014,8961646300,Республика Мордовия,Чиндяновское сельское поселение,470,0,470,,,
3319,2014,8961800000,Республика Мордовия,Ельниковский муниципальный район,10817,0,10817,,,
3320,2014,8961840500,Республика Мордовия,Акчеевское сельское поселение,491,0,491,,,
3321,2014,8961841000,Республика Мордовия,Большемордовско-Пошатское сельское поселение,451,0,451,,,
3322,2014,8961841500,Республика Мордовия,Большеуркатское сельское поселение,279,0,279,,,
3323,2014,8961842500,Республика Мордовия,Ельниковское сельское поселение,5750,0,5750,,,
3324,2014,8961843000,Республика Мордовия,Каньгушанское сельское поселение,378,0,378,,,
3325,2014,8961844500,Республика Мордовия,Мордовско-Коринское сельское поселение,196,0,196,,,
3326,2014,8961845000,Республика Мордовия,Мордовско-Маскинское сельское поселение,222,0,222,,,
3327,2014,8961845500,Республика Мордовия,Надеждинское сельское поселение,347,0,347,,,
3328,2014,8961846000,Республика Мордовия,Новодевиченское сельское поселение,351,0,351,,,
3329,2014,8961848000,Республика Мордовия,Новоникольское сельское поселение,391,0,391,,,
3330,2014,8961844000,Республика Мордовия,Новоусадское сельское поселение,174,0,174,,,
3331,2014,8961847500,Республика Мордовия,Новоямское сельское поселение,375,0,375,,,
3332,2014,8961848500,Республика Мордовия,Стародевиченское сельское поселение,1044,0,1044,,,
3333,2014,8961849500,Республика Мордовия,Старотештелимское сельское поселение,368,0,368,,,
3334,2014,8962100000,Республика Мордовия,Зубово-Полянский муниципальный район,56486,24494,31992,,,
3335,2014,8962115100,Республика Мордовия,Зубово-Полянское городское поселение,10998,10083,915,,,
3336,2014,896211510511000,Республика Мордовия,пгт. Зубова Поляна,10083,10083,0,,,
3337,2014,8962116300,Республика Мордовия,Потьминское городское поселение,4039,4023,16,,,
3338,2014,896211630511000,Республика Мордовия,пгт. Потьма,4023,4023,0,,,
3339,2014,8962116800,Республика Мордовия,Уметское городское поселение,2849,2705,144,,,
3340,2014,896211680511000,Республика Мордовия,пгт. Умет,2705,2705,0,,,
3341,2014,8962118000,Республика Мордовия,Явасское городское поселение,13256,7683,5573,,,
3342,2014,896211800511000,Республика Мордовия,пгт. Явас,7683,7683,0,,,
3343,2014,8962140400,Республика Мордовия,Анаевское сельское поселение,496,0,496,,,
3344,2014,8962140800,Республика Мордовия,Ачадовское сельское поселение,719,0,719,,,
3345,2014,8962141200,Республика Мордовия,Булдыгинское сельское поселение,471,0,471,,,
3346,2014,8962141600,Республика Мордовия,Вадово-Селищинское сельское поселение,365,0,365,,,
3347,2014,8962141800,Республика Мордовия,Вышинское сельское поселение,583,0,583,,,
3348,2014,8962142000,Республика Мордовия,Горенское сельское поселение,653,0,653,,,
3349,2014,8962142400,Республика Мордовия,Дубительское сельское поселение,611,0,611,,,
3350,2014,8962142700,Республика Мордовия,Жуковское сельское поселение,541,0,541,,,
3351,2014,8962142800,Республика Мордовия,Журавкинское сельское поселение,681,0,681,,,
3352,2014,8962143200,Республика Мордовия,Зарубкинское сельское поселение,1039,0,1039,,,
3353,2014,8962143600,Республика Мордовия,Известковское сельское поселение,165,0,165,,,
3354,2014,8962144000,Республика Мордовия,Каргашинское сельское поселение,445,0,445,,,
3355,2014,8962144200,Республика Мордовия,Леплейское сельское поселение,5202,0,5202,,,
3356,2014,8962144400,Республика Мордовия,Мордовско-Пимбурское сельское поселение,478,0,478,,,
3357,2014,8962144800,Республика Мордовия,Мордовско-Полянское сельское поселение,983,0,983,,,
3358,2014,8962145200,Республика Мордовия,Новобадиковское сельское поселение,496,0,496,,,
3359,2014,8962145600,Республика Мордовия,Нововыселское сельское поселение,1456,0,1456,,,
3360,2014,8962146000,Республика Мордовия,Новопотьминское сельское поселение,661,0,661,,,
3361,2014,8962146400,Республика Мордовия,Пичпандинское сельское поселение,580,0,580,,,
3362,2014,8962147600,Республика Мордовия,Свеженское сельское поселение,162,0,162,,,
3363,2014,8962147800,Республика Мордовия,Сосновское сельское поселение,4397,0,4397,,,
3364,2014,8962148000,Республика Мордовия,Старобадиковское сельское поселение,510,0,510,,,
3365,2014,8962148400,Республика Мордовия,Студенецкое сельское поселение,121,0,121,,,
3366,2014,8962148800,Республика Мордовия,Тарханско-Потьминское сельское поселение,994,0,994,,,
3367,2014,8962149200,Республика Мордовия,Уголковское сельское поселение,598,0,598,,,
3368,2014,8962149800,Республика Мордовия,Ширингушское сельское поселение,1937,0,1937,,,
3369,2014,8962400000,Республика Мордовия,Инсарский муниципальный район,13308,8555,4753,,,
3370,2014,8962410100,Республика Мордовия,Городское поселение Инсар,8576,8555,21,,,
3371,2014,896241010011000,Республика Мордовия,г. Инсар,8555,8555,0,,,
3372,2014,8962441200,Республика Мордовия,Верхнелухменское сельское поселение,262,0,262,,,
3373,2014,8962442000,Республика Мордовия,Казеевское сельское поселение,279,0,279,,,
3374,2014,8962442400,Республика Мордовия,Кочетовское сельское поселение,540,0,540,,,
3375,2014,8962443200,Республика Мордовия,Лухменско-Майданское сельское поселение,242,0,242,,,
3376,2014,8962443600,Республика Мордовия,Мордовско-Паевское сельское поселение,376,0,376,,,
3377,2014,8962444400,Республика Мордовия,Нижневязерское сельское поселение,293,0,293,,,
3378,2014,8962444800,Республика Мордовия,Новлейское сельское поселение,247,0,247,,,
3379,2014,8962446400,Республика Мордовия,Русско-Паевское сельское поселение,445,0,445,,,
3380,2014,8962447200,Республика Мордовия,Сиалеевско-Пятинское сельское поселение,485,0,485,,,
3381,2014,8962447600,Республика Мордовия,Староверхисское сельское поселение,342,0,342,,,
3382,2014,8962448000,Республика Мордовия,Челмодеевско-Майданское сельское поселение,208,0,208,,,
3383,2014,8962448400,Республика Мордовия,Шадымо-Рыскинское сельское поселение,275,0,275,,,
3384,2014,8962448800,Республика Мордовия,Языково-Пятинское сельское поселение,276,0,276,,,
3385,2014,8962449200,Республика Мордовия,Ямщинское сельское поселение,259,0,259,,,
3386,2014,8962449600,Республика Мордовия,Яндовищенское сельское поселение,203,0,203,,,
3387,2014,8962600000,Республика Мордовия,Ичалковский муниципальный район,19653,0,19653,,,
3388,2014,8962640500,Республика Мордовия,Берегово-Сыресевское сельское поселение,1202,0,1202,,,
3389,2014,8962641500,Республика Мордовия,Гуляевское сельское поселение,588,0,588,,,
3390,2014,8962642000,Республика Мордовия,Ичалковское сельское поселение,2578,0,2578,,,
3391,2014,8962643100,Республика Мордовия,Кемлянское сельское поселение,4849,0,4849,,,
3392,2014,8962643500,Республика Мордовия,Кергудское сельское поселение,391,0,391,,,
3393,2014,8962644000,Республика Мордовия,Ладское сельское поселение,1063,0,1063,,,
3394,2014,8962644500,Республика Мордовия,Лобаскинское сельское поселение,495,0,495,,,
3395,2014,8962645500,Республика Мордовия,Оброчинское сельское поселение,1776,0,1776,,,
3396,2014,8962646000,Республика Мордовия,Парадеевское сельское поселение,682,0,682,,,
3397,2014,8962646500,Республика Мордовия,Пермеевское сельское поселение,391,0,391,,,
3398,2014,8962647500,Республика Мордовия,Резоватовское сельское поселение,409,0,409,,,
3399,2014,8962648000,Республика Мордовия,Рождественно-Баевское сельское поселение,3076,0,3076,,,
3400,2014,8962648500,Республика Мордовия,Смольненское сельское поселение,1547,0,1547,,,
3401,2014,8962649000,Республика Мордовия,Тархановское сельское поселение,606,0,606,,,
3402,2014,8962800000,Республика Мордовия,Кадошкинский муниципальный район,7454,4524,2930,,,
3403,2014,8962815100,Республика Мордовия,Кадошкинское городское поселение,4542,4524,18,,,
3404,2014,896281510511000,Республика Мордовия,пгт. Кадошкино,4524,4524,0,,,
3405,2014,8962840300,Республика Мордовия,Адашевское сельское поселение,559,0,559,,,
3406,2014,8962841000,Республика Мордовия,Большеполянское сельское поселение,534,0,534,,,
3407,2014,8962841300,Республика Мордовия,Глушковское сельское поселение,222,0,222,,,
3408,2014,8962842000,Республика Мордовия,Латышовское сельское поселение,626,0,626,,,
3409,2014,8962843500,Республика Мордовия,Паевское сельское поселение,370,0,370,,,
3410,2014,8962844000,Республика Мордовия,Пушкинское сельское поселение,601,0,601,,,
3411,2014,8962900000,Республика Мордовия,Ковылкинский муниципальный район,41608,20820,20788,,,
3412,2014,8962910100,Республика Мордовия,Городское поселение Ковылкино,20858,20820,38,,,
3413,2014,896291010011000,Республика Мордовия,г. Ковылкино,20820,20820,0,,,
3414,2014,8962940600,Республика Мордовия,Большеазясьское сельское поселение,733,0,733,,,
3415,2014,8962941800,Республика Мордовия,Изосимовское сельское поселение,942,0,942,,,
3416,2014,8962942100,Республика Мордовия,Казенно-Майданское сельское поселение,1265,0,1265,,,
3417,2014,8962942400,Республика Мордовия,Клиновское сельское поселение,1019,0,1019,,,
3418,2014,8962942700,Республика Мордовия,Кочелаевское сельское поселение,1459,0,1459,,,
3419,2014,8962943000,Республика Мордовия,Краснопресненское сельское поселение,1282,0,1282,,,
3420,2014,8962943200,Республика Мордовия,Красношадымское сельское поселение,630,0,630,,,
3421,2014,8962943500,Республика Мордовия,Курнинское сельское поселение,757,0,757,,,
3422,2014,8962943800,Республика Мордовия,Мамолаевское сельское поселение,1286,0,1286,,,
3423,2014,8962944400,Республика Мордовия,Мордовско-Вечкенинское сельское поселение,1271,0,1271,,,
3424,2014,8962944700,Республика Мордовия,Мордовско-Коломасовское сельское поселение,463,0,463,,,
3425,2014,8962944900,Республика Мордовия,Новомамангинское сельское поселение,187,0,187,,,
3426,2014,8962945600,Республика Мордовия,Парапинское сельское поселение,1479,0,1479,,,
3427,2014,8962945900,Республика Мордовия,Покровское сельское поселение,319,0,319,,,
3428,2014,8962946300,Республика Мордовия,Примокшанское сельское поселение,889,0,889,,,
